#D_ACCELX,D_ACCELY,D_ACCELZ,TRUEX,TRUEY,TRUEZ
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
0.11,-0.05,-0.99,0,0,-1
