#D_ACCELX	#D_ACCELY	#D_ACCELZ	#XTRUE	#YTRUE	#ZTRUE
-0.02	0.07	-0.96	0	0	-1
-0.07	-0.03	-0.97	0	0	-1
-0.07	0.01	-1.01	0	0	-1
-0.05	0.01	-1.04	0	0	-1
0.05	0.04	-1.03	0	0	-1
-0.06	0.01	-1.04	0	0	-1
0	-0.01	-1.01	0	0	-1
0.01	-0.01	-1.05	0	0	-1
0.03	0	-1.03	0	0	-1
0.03	0.02	-0.98	0	0	-1
-0.1	0.02	-1.01	0	0	-1
0.01	0.06	-0.96	0	0	-1
0.05	-0.01	-1	0	0	-1
-0.01	0.02	-1.01	0	0	-1
-0.03	-0.04	-1.02	0	0	-1
0.05	-0.04	-1.04	0	0	-1
-0.01	0.01	-0.98	0	0	-1
-0.11	0.05	-0.99	0	0	-1
0	0.06	-0.97	0	0	-1
0.02	-0.01	-1.06	0	0	-1
-0.09	0.03	-0.97	0	0	-1
0	0.03	-1	0	0	-1
0.05	0.02	-1.02	0	0	-1
0.04	0	-1.02	0	0	-1
-0.01	-0.04	-1.08	0	0	-1
0.02	0.01	-1	0	0	-1
-0.02	-0.02	-1.04	0	0	-1
0.04	0	-1.05	0	0	-1
0.04	0.02	-1.01	0	0	-1
-0.02	-0.02	-1.04	0	0	-1
-0.01	-0.05	-1.06	0	0	-1
0.04	-0.01	-0.98	0	0	-1
-0.06	0.05	-1.05	0	0	-1
-0.04	0.07	-1.02	0	0	-1
-0.06	0.03	-1.04	0	0	-1
0.01	-0.07	-1.05	0	0	-1
-0.03	-0.02	-0.95	0	0	-1
0.03	-0.02	-1	0	0	-1
-0.03	-0.02	-1.02	0	0	-1
0.04	0.01	-1.02	0	0	-1
-0.01	0.03	-1.05	0	0	-1
0	-0.01	-1.02	0	0	-1
-0.05	-0.01	-1.07	0	0	-1
-0.05	-0.04	-1.04	0	0	-1
0.02	0.05	-0.99	0	0	-1
0.01	-0.03	-1.03	0	0	-1
0.03	0.01	-1.02	0	0	-1
0.01	0.01	-1.03	0	0	-1
-0.02	-0.07	-1	0	0	-1
-0.04	0.02	-1.02	0	0	-1
-0.01	0	-1.02	0	0	-1
0.02	-0.05	-1.01	0	0	-1
-0.01	0.03	-1	0	0	-1
0.01	0.01	-0.97	0	0	-1
0.02	-0.02	-1	0	0	-1
-0.06	0	-1.05	0	0	-1
-0.05	-0.05	-0.98	0	0	-1
0	0.07	-1.08	0	0	-1
0.03	-0.93	-0.03	0	-1	0
-0.04	-0.95	-0.03	0	-1	0
-0.04	-1.05	-0.04	0	-1	0
-0.04	-1	0.01	0	-1	0
0	-1.04	0.04	0	-1	0
-0.04	-0.95	0.02	0	-1	0
0.08	-0.99	0.06	0	-1	0
-0.03	-0.99	0.08	0	-1	0
0.06	-1.03	0	0	-1	0
-0.09	-0.98	0.02	0	-1	0
-0.01	-1	0.02	0	-1	0
-0.1	-1.03	0.01	0	-1	0
0	-1.01	0.05	0	-1	0
-0.06	-1	-0.02	0	-1	0
-0.05	-1	0	0	-1	0
0.02	-1.03	0.01	0	-1	0
0.01	-0.98	0.01	0	-1	0
-0.01	-1	0.02	0	-1	0
-0.02	-1.02	0.02	0	-1	0
0.02	-0.96	-0.02	0	-1	0
-0.06	-0.98	-0.01	0	-1	0
0.04	-1.04	0	0	-1	0
-0.04	-1.01	0.02	0	-1	0
-0.04	-0.95	0.07	0	-1	0
0	-0.94	0.06	0	-1	0
-0.08	-1.03	-0.03	0	-1	0
0.01	-1.02	-0.01	0	-1	0
0.05	-1.02	0.08	0	-1	0
-0.05	-1.02	0.02	0	-1	0
0.03	-1	-0.03	0	-1	0
0.01	-0.96	-0.01	0	-1	0
-0.03	-1.02	-0.03	0	-1	0
-0.09	-0.94	-0.02	0	-1	0
-0.02	-0.98	-0.02	0	-1	0
0.02	-1.01	-0.02	0	-1	0
-0.03	-1	0.03	0	-1	0
0.03	-1.03	0.02	0	-1	0
-0.05	-1	-0.03	0	-1	0
0	-0.99	0.03	0	-1	0
-0.06	-0.95	0.01	0	-1	0
-0.02	-1.07	-0.04	0	-1	0
-0.05	-1	0.04	0	-1	0
-0.06	-1.06	0.02	0	-1	0
0	-1.04	-0.04	0	-1	0
0.01	-1	-0.01	0	-1	0
-0.03	-0.97	0.03	0	-1	0
-0.01	-1.03	0.01	0	-1	0
-0.02	-0.97	0.02	0	-1	0
0.01	-0.98	0.03	0	-1	0
-0.02	-1.03	0.01	0	-1	0
-0.02	-1.07	-0.01	0	-1	0
-0.09	-1.04	0.03	0	-1	0
-0.04	-0.99	0.05	0	-1	0
-0.01	-1.04	0.01	0	-1	0
0	-1	0.06	0	-1	0
-0.02	-1.03	0.01	0	-1	0
0.02	-1.01	0.01	0	-1	0
0.06	-0.99	0.01	0	-1	0
-0.03	-1.06	-0.01	0	-1	0
-0.03	-0.99	0.01	0	-1	0
-0.02	-1.01	0	0	-1	0
0.03	1	0.02	0	1	0
-0.01	0.99	0.07	0	1	0
0.05	0.98	0.01	0	1	0
0.04	0.97	-0.01	0	1	0
-0.05	0.98	-0.02	0	1	0
0.03	1.01	0.05	0	1	0
0.01	0.96	0.01	0	1	0
0	0.98	0.09	0	1	0
0.02	1.04	0.05	0	1	0
0.02	1.02	0.03	0	1	0
-0.02	1.05	0.06	0	1	0
-0.01	1.05	0.04	0	1	0
0.06	0.91	0.05	0	1	0
-0.03	0.99	0.03	0	1	0
0.03	1.02	0	0	1	0
0	0.99	-0.02	0	1	0
0	0.98	0.01	0	1	0
-0.04	1.04	0.04	0	1	0
0	1.02	0.02	0	1	0
0.04	0.99	0.08	0	1	0
-0.04	0.95	0.07	0	1	0
0.03	0.98	0	0	1	0
0.07	1.04	0.07	0	1	0
0.03	0.99	0	0	1	0
-0.02	1	0.01	0	1	0
0.04	1.06	0.04	0	1	0
-0.01	1.01	0.09	0	1	0
0.01	1.02	0.03	0	1	0
-0.03	0.92	0.01	0	1	0
-0.02	1.06	0.01	0	1	0
-0.03	1.03	0.02	0	1	0
0.01	1.03	0.01	0	1	0
0.07	1.02	0.06	0	1	0
-0.01	0.98	0.05	0	1	0
0.01	1	0	0	1	0
-0.03	0.98	0.01	0	1	0
0.04	1.02	0.03	0	1	0
-0.03	0.97	0.05	0	1	0
0.08	1.02	0	0	1	0
-0.06	0.95	0.04	0	1	0
0.01	0.99	0.03	0	1	0
0.1	0.98	0.04	0	1	0
-0.02	1.03	0.01	0	1	0
-0.02	0.96	-0.02	0	1	0
-0.02	0.97	0.03	0	1	0
-0.04	1.01	0	0	1	0
0.02	0.99	0.03	0	1	0
0.06	0.98	0.06	0	1	0
0.05	1.01	-0.03	0	1	0
0.02	0.94	0.1	0	1	0
0.02	1.01	0.01	0	1	0
0.02	1.03	0.07	0	1	0
-0.07	0.96	0.07	0	1	0
0.05	1.03	0.02	0	1	0
0.03	0.99	0	0	1	0
0.06	0.96	0.02	0	1	0
0.07	0.98	0.04	0	1	0
-0.04	1.03	-0.01	0	1	0
-0.03	1.01	0.02	0	1	0
0.01	1.02	-0.04	0	1	0
0.04	0.96	-0.02	0	1	0
1.01	-0.01	0.03	1	0	0
1.07	0.01	-0.04	1	0	0
1.01	-0.01	0.01	1	0	0
1.03	0.03	0.01	1	0	0
1.1	-0.04	-0.03	1	0	0
0.99	0.01	0.01	1	0	0
1.07	0.03	-0.03	1	0	0
1.07	0	0	1	0	0
1.02	0	0.02	1	0	0
1.01	-0.02	0.01	1	0	0
1.01	0.01	-0.01	1	0	0
1.08	-0.03	0.03	1	0	0
1.04	-0.01	0	1	0	0
1.08	-0.02	-0.01	1	0	0
0.94	-0.05	-0.08	1	0	0
1.06	0.01	-0.01	1	0	0
1.05	0.02	-0.03	1	0	0
0.98	0.04	0.01	1	0	0
