D_ACCELX,D_ACCELY,D_ACCELZ,XTRUE,YTRUE,ZTRUE,-2.26659942,-3.06918049,-2.26105857,-3.06542063,-2.30497336,-3.03424668
-0.02,0.07,-0.96,0,0,-1,,-3.023848502,,-3.22369473,,-0.821472254
-0.07,-0.03,-0.97,0,0,-1,,-2.910518531,,-2.997588873,,-0.798422521
-0.07,0.01,-1.01,0,0,-1,,-2.910518531,,-3.088031216,,-0.706223586
-0.05,0.01,-1.04,0,0,-1,,-2.955850519,,-3.088031216,,-0.637074386
0.05,0.04,-1.03,0,0,-1,,-3.182510461,,-3.155862973,,-0.660124119
-0.06,0.01,-1.04,0,0,-1,,-2.933184525,,-3.088031216,,-0.637074386
0,-0.01,-1.01,0,0,-1,,-3.06918049,,-3.042810044,,-0.706223586
0.01,-0.01,-1.05,0,0,-1,,-3.091846484,,-3.042810044,,-0.614024652
0.03,0,-1.03,0,0,-1,,-3.137178473,,-3.06542063,,-0.660124119
0.03,0.02,-0.98,0,0,-1,,-3.137178473,,-3.110641801,,-0.775372787
-0.1,0.02,-1.01,0,0,-1,,-2.842520548,,-3.110641801,,-0.706223586
0.01,0.06,-0.96,0,0,-1,,-3.091846484,,-3.201084144,,-0.821472254
0.05,-0.01,-1,0,0,-1,,-3.182510461,,-3.042810044,,-0.72927332
-0.01,0.02,-1.01,0,0,-1,,-3.046514496,,-3.110641801,,-0.706223586
-0.03,-0.04,-1.02,0,0,-1,,-3.001182507,,-2.974978287,,-0.683173853
0.05,-0.04,-1.04,0,0,-1,,-3.182510461,,-2.974978287,,-0.637074386
-0.01,0.01,-0.98,0,0,-1,,-3.046514496,,-3.088031216,,-0.775372787
-0.11,0.05,-0.99,0,0,-1,,-2.819854554,,-3.178473559,,-0.752323054
0,0.06,-0.97,0,0,-1,,-3.06918049,,-3.201084144,,-0.798422521
0.02,-0.01,-1.06,0,0,-1,,-3.114512478,,-3.042810044,,-0.590974918
-0.09,0.03,-0.97,0,0,-1,,-2.865186542,,-3.133252387,,-0.798422521
0,0.03,-1,0,0,-1,,-3.06918049,,-3.133252387,,-0.72927332
0.05,0.02,-1.02,0,0,-1,,-3.182510461,,-3.110641801,,-0.683173853
0.04,0,-1.02,0,0,-1,,-3.159844467,,-3.06542063,,-0.683173853
-0.01,-0.04,-1.08,0,0,-1,,-3.046514496,,-2.974978287,,-0.544875451
0.02,0.01,-1,0,0,-1,,-3.114512478,,-3.088031216,,-0.72927332
-0.02,-0.02,-1.04,0,0,-1,,-3.023848502,,-3.020199459,,-0.637074386
0.04,0,-1.05,0,0,-1,,-3.159844467,,-3.06542063,,-0.614024652
0.04,0.02,-1.01,0,0,-1,,-3.159844467,,-3.110641801,,-0.706223586
-0.02,-0.02,-1.04,0,0,-1,,-3.023848502,,-3.020199459,,-0.637074386
-0.01,-0.05,-1.06,0,0,-1,,-3.046514496,,-2.952367702,,-0.590974918
0.04,-0.01,-0.98,0,0,-1,,-3.159844467,,-3.042810044,,-0.775372787
-0.06,0.05,-1.05,0,0,-1,,-2.933184525,,-3.178473559,,-0.614024652
-0.04,0.07,-1.02,0,0,-1,,-2.978516513,,-3.22369473,,-0.683173853
-0.06,0.03,-1.04,0,0,-1,,-2.933184525,,-3.133252387,,-0.637074386
0.01,-0.07,-1.05,0,0,-1,,-3.091846484,,-2.90714653,,-0.614024652
-0.03,-0.02,-0.95,0,0,-1,,-3.001182507,,-3.020199459,,-0.844521988
0.03,-0.02,-1,0,0,-1,,-3.137178473,,-3.020199459,,-0.72927332
-0.03,-0.02,-1.02,0,0,-1,,-3.001182507,,-3.020199459,,-0.683173853
0.04,0.01,-1.02,0,0,-1,,-3.159844467,,-3.088031216,,-0.683173853
-0.01,0.03,-1.05,0,0,-1,,-3.046514496,,-3.133252387,,-0.614024652
0,-0.01,-1.02,0,0,-1,,-3.06918049,,-3.042810044,,-0.683173853
-0.05,-0.01,-1.07,0,0,-1,,-2.955850519,,-3.042810044,,-0.567925185
-0.05,-0.04,-1.04,0,0,-1,,-2.955850519,,-2.974978287,,-0.637074386
0.02,0.05,-0.99,0,0,-1,,-3.114512478,,-3.178473559,,-0.752323054
0.01,-0.03,-1.03,0,0,-1,,-3.091846484,,-2.997588873,,-0.660124119
0.03,0.01,-1.02,0,0,-1,,-3.137178473,,-3.088031216,,-0.683173853
0.01,0.01,-1.03,0,0,-1,,-3.091846484,,-3.088031216,,-0.660124119
